Year,StateAbbr,StateDesc,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,CategoryID,MeasureID,DataValueTypeID,Short_Question_Text,Data_Value,MOE,TotalPopulation
2017-2021,AL,Alabama,5-year ACS,SDOH,Crowding among housing units,%,Percentage,SDOH,CROWD,Percent,Crowding,1.7,10.4,5777.67
2017-2021,AL,Alabama,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,SDOH,HCOST,Percent,Housing cost burden,22.04,17.52,5777.67
2017-2021,AL,Alabama,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,SDOH,BROAD,Percent,No broadband,23.57,24.46,5777.67
2017-2021,AL,Alabama,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,SDOH,NOHSDP,Percent,No high school diploma,15.92,9.22,5777.67
2017-2021,AL,Alabama,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,SDOH,AGE65,Percent,Aged 65 years or older,19.16,8.63,5777.67
2017-2021,AL,Alabama,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,SDOH,POV150,Percent,Poverty,29.39,13.29,5777.67
2017-2021,AL,Alabama,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,SDOH,REMNRTY,Percent,Racial or ethnic minority status,31.2,13.83,5777.67
2017-2021,AL,Alabama,5-year ACS,SDOH,Single-parent households,%,Percentage,SDOH,SNGPNT,Percent,Single-parent households,6.87,11.86,5777.67
2017-2021,AL,Alabama,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,SDOH,UNEMP,Percent,Unemployment,6.6,11.34,5777.67
2017-2021,AK,Alaska,5-year ACS,SDOH,Crowding among housing units,%,Percentage,SDOH,CROWD,Percent,Crowding,18.48,16.15,2588.87
2017-2021,AK,Alaska,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,SDOH,HCOST,Percent,Housing cost burden,18.47,26.14,2588.87
2017-2021,AK,Alaska,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,SDOH,BROAD,Percent,No broadband,28.95,26.68,2588.87
2017-2021,AK,Alaska,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,SDOH,NOHSDP,Percent,No high school diploma,12.44,9.0,2588.87
2017-2021,AK,Alaska,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,SDOH,AGE65,Percent,Aged 65 years or older,13.9,8.05,2588.87
2017-2021,AK,Alaska,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,SDOH,POV150,Percent,Poverty,31.91,12.37,2588.87
2017-2021,AK,Alaska,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,SDOH,REMNRTY,Percent,Racial or ethnic minority status,59.72,17.07,2588.87
2017-2021,AK,Alaska,5-year ACS,SDOH,Single-parent households,%,Percentage,SDOH,SNGPNT,Percent,Single-parent households,6.98,16.1,2588.87
2017-2021,AK,Alaska,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,SDOH,UNEMP,Percent,Unemployment,13.88,13.04,2588.87
2017-2021,AZ,Arizona,5-year ACS,SDOH,Crowding among housing units,%,Percentage,SDOH,CROWD,Percent,Crowding,8.22,14.75,15668.29
2017-2021,AZ,Arizona,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,SDOH,HCOST,Percent,Housing cost burden,19.69,22.93,15668.29
2017-2021,AZ,Arizona,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,SDOH,BROAD,Percent,No broadband,28.28,30.32,15668.29
2017-2021,AZ,Arizona,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,SDOH,NOHSDP,Percent,No high school diploma,16.67,11.24,15668.29
2017-2021,AZ,Arizona,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,SDOH,AGE65,Percent,Aged 65 years or older,25.63,11.37,15668.29
