StateAbbr,StateDesc,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value_Footnote_Symbol,Data_Value_Footnote,TotalPopulation,TotalPop18plus,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Year,Data_Value,Low_Confidence_Limit,High_Confidence_Limit
AL,Alabama,BRFSS,Health Outcomes,Arthritis among adults,%,Age-adjusted prevalence,,,"36,558","28,282",HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,2022.88,27.68,24.53,30.94
AK,Alaska,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,,,844,663,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,2022.88,24.25,21.35,27.27
AZ,Arizona,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Age-adjusted prevalence,,,"109,175","82,055",HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,2022.88,24.96,22.33,27.69
AR,Arkansas,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,,,"16,945","13,230",HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,2022.88,27.39,24.21,30.68
CA,California,BRFSS,Disability,Any disability among adults,%,Crude prevalence,,,"254,407","206,190",DISABLT,DISABILITY,CrdPrv,Any Disability,2022.88,24.37,21.61,27.24
CO,Colorado,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,,,"2,513","2,096",HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,2022.85,24.88,22.08,27.8
CT,Connecticut,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Age-adjusted prevalence,,,"327,651","256,229",PREVENT,BPMED,AgeAdjPrv,High Blood Pressure Medication,2022.88,24.26,22.63,25.94
DE,Delaware,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Crude prevalence,,,"578,592","456,332",SOCLNEED,FOODSTAMP,CrdPrv,Food Stamps,2022.88,25.1,22.59,27.7
DC,District of Columbia,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Age-adjusted prevalence,,,"678,972","552,380",PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,2022.88,22.79,20.28,25.34
FL,Florida,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,,,"643,979","528,274",HLTHOUT,DIABETES,CrdPrv,Diabetes,2022.85,27.15,24.43,29.92
GA,Georgia,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,,,"127,098","96,984",DISABLT,HEARING,CrdPrv,Hearing Disability,2022.88,26.74,23.69,29.89
HI,Hawaii,BRFSS,Health Outcomes,Obesity among adults,%,Age-adjusted prevalence,,,81,75,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,2022.88,24.03,21.66,26.48
ID,Idaho,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,,,"90,400","67,958",HLTHOUT,STROKE,CrdPrv,Stroke,2022.88,24.02,21.14,27.01
IL,Illinois,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,,,"6,294","5,228",HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,2022.88,24.83,21.78,28.02
IN,Indiana,BRFSS,Health Outcomes,Stroke among adults,%,Age-adjusted prevalence,,,"26,460","20,399",HLTHOUT,STROKE,AgeAdjPrv,Stroke,2022.88,25.48,22.57,28.49
IA,Iowa,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,,,"6,458","5,059",HLTHOUT,DEPRESSION,CrdPrv,Depression,2022.88,24.58,21.77,27.49
KS,Kansas,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,,,"7,838","5,838",HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,2022.88,24.58,21.71,27.57
KY,Kentucky,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Age-adjusted prevalence,,,"37,304","28,972",PREVENT,DENTAL,AgeAdjPrv,Dental Visit,2022.0,50.18,44.41,55.84
LA,Louisiana,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,,,"4,768","3,710",DISABLT,HEARING,CrdPrv,Hearing Disability,2022.88,28.59,25.44,31.84
ME,Maine,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,,,"56,526","47,589",HLTHOUT,CASTHMA,CrdPrv,Current Asthma,2022.88,25.42,22.9,28.04
