Premature Age-Adjusted Mortality by State
"Asian (Non-Hispanic/Latino), Both Sexes, Ages <75, 2021-2023"

Sorted by Rate

State,FIPS,"Premature Age-Adjusted Mortality Rate - deaths per 100,000(1)"
"United States",00000,164
"Minnesota",27000,251
"Wisconsin",55000,233
"Arkansas",05000,222
"Nevada",32000,221
"Louisiana",22000,219
"South Dakota",46000,215
"Oklahoma",40000,212
"Mississippi",28000,207
"Rhode Island",44000,205
"Alaska",02900,198
"Iowa",19000,198
"Hawaii",15000,189
"North Dakota",38000,187
"Montana",30000,184
"Maine",23000,183
"New Mexico",35000,183
"Tennessee",47000,181
"Kansas",20000,179
"Idaho",16000,177
"Indiana",18000,176
"Florida",12000,174
"Arizona",04000,173
"California",06000,171
"Colorado",08000,171
"Alabama",01000,169
"Georgia",13000,167
"Utah",49000,166
"Kentucky",21000,165
"Nebraska",31000,164
"Pennsylvania",42000,164
"Washington",53000,159
"Michigan",26000,158
"New York",36000,157
"South Carolina",45000,156
"Wyoming",56000,156
"North Carolina",37000,155
"Ohio",39000,155
"Oregon",41000,155
"Texas",48000,155
"Missouri",29000,150
"West Virginia",54000,145
"Virginia",51000,140
"Maryland",24000,139
"Delaware",10000,137
"Illinois",17000,136
"New Jersey",34000,129
"District of Columbia",11001,127
"Connecticut",09000,126
"Massachusetts",25000,126
"Vermont",50000,114
"New Hampshire",33000,108
"Puerto Rico",72001,NA

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/26/2026. Available from https://hdpulse.nimhd.nih.gov

Notes:
"1Source: Premature age-adjusted mortality data (number of deaths among residents under age 75 per 100,000 population (age-adjusted))are calculated by the County Health Rankings [ https://www.countyhealthrankings.org/explore-health-rankings/county-health-rankings-model/health-outcomes/length-of-life/premature-age-adjusted-mortality ] site using data from the National Center for Health Statistics and the National Vital Statistics System. "

NA: Data not available values reflect unreliable or missing data.
